priority,topic,modality,tag,idx,trigger,stem,description,search_terms,svg_feasible,svg,error
1,Cardiovascular Disease,CT/MRI,Hazzard,932,CT head shows,"An 85-year-old with atrial fibrillation and acute ischemic stroke arrives at 3.5 hours from symptom onset. NIHSS 14, CT head shows no hemorrhage. Which statement is MOST accurate?","Non-contrast CT head showing early signs of acute ischemic stroke such as hyperdense MCA sign, loss of gray-white differentiation, or subtle hypodensity in MCA territory.",hyperdense MCA sign CT | acute MCA stroke CT non-contrast | early ischemic stroke CT head | dense MCA sign atrial fibrillation stroke | acute ischemic stroke CT ASPECTS,False,,
1,Cardiovascular Disease,CT/MRI,Hazzard,2547,MRI brain shows,A 77-year-old woman with HTN and osteoarthritis is brought by family for confusion and falls. They report she's been taking diphenhydramine 50mg nightly for sleep for 'years.' MMSE,"Brain MRI or CT showing chronic small vessel ischemic changes (white matter hyperintensities, leukoaraiosis) and possible cerebral atrophy in an elderly patient with vascular risk factors and anticholinergic-induced cognitive impairment.",brain MRI leukoaraiasis white matter hyperintensities | CT brain chronic small vessel disease elderly | MRI FLAIR white matter hyperintensities periventricular | brain atrophy small vessel ischemic disease CT,False,,
1,Cardiovascular Disease,ECG,Hazzard,2591,ECG shows,"An 88-year-old man with severe aortic stenosis (valve area 0.7 cm²), CKD stage 3a, and residing in memory care for Alzheimer's disease is brought to clinic by his daughter. She rep",ECG showing left ventricular hypertrophy with strain pattern typical of severe aortic stenosis.,left ventricular hypertrophy ECG aortic stenosis | LVH strain pattern ECG | severe aortic stenosis ECG left ventricular hypertrophy,True,"<svg viewBox='0 0 800 400' xmlns='http://www.w3.org/2000/svg'><rect fill='#fff' width='800' height='400'/><defs><pattern id='grid' width='20' height='20' patternUnits='userSpaceOnUse'><path d='M 20 0 L 0 0 0 20' fill='none' stroke='#ffcccc' stroke-width='0.5'/></pattern><pattern id='grid-bold' width='100' height='100' patternUnits='userSpaceOnUse'><path d='M 100 0 L 0 0 0 100' fill='none' stroke='#ffaaaa' stroke-width='1'/></pattern></defs><rect width='800' height='400' fill='url(#grid)'/><rect width='800' height='400' fill='url(#grid-bold)'/><text x='50' y='30' font-family='Arial' font-size='14' font-weight='bold'>Lead V5</text><text x='450' y='30' font-family='Arial' font-size='14' font-weight='bold'>Lead V6</text><g stroke='#000' stroke-width='1.5' fill='none'><path d='M 50 200 L 70 200 L 72 195 L 75 210 L 85 60 L 95 220 L 102 195 L 110 200 L 150 195 L 180 190 L 200 200'/><path d='M 200 200 L 220 200 L 222 195 L 225 210 L 235 65 L 245 220 L 252 195 L 260 200 L 300 195 L 330 190 L 350 200'/><path d='M 450 200 L 470 200 L 472 195 L 475 210 L 485 70 L 495 220 L 502 195 L 510 200 L 550 195 L 580 192 L 600 200'/><path d='M 600 200 L 620 200 L 622 195 L 625 210 L 635 75 L 645 220 L 652 195 L 660 200 L 700 195 L 730 192 L 750 200'/></g><g stroke='#000' stroke-width='1' fill='none' stroke-dasharray='2,2'><path d='M 110 200 Q 130 230 150 195'/><path d='M 260 200 Q 280 230 300 195'/><path d='M 510 200 Q 530 228 550 195'/><path d='M 660 200 Q 680 228 700 195'/></g><text x='50' y='380' font-family='Arial' font-size='12' fill='#666'>Features: Deep S in V1-V2 (not shown) + Tall R in V5-V6 + ST depression and T-wave inversion (strain pattern)</text></svg>",
1,Cardiovascular Disease,ECG,Hazzard,2590,ECG shows,"A 79-year-old woman residing in assisted living is found unresponsive by staff. She has heart failure (EF 25%), permanent AF on warfarin, and mild cognitive impairment. Staff repor","ECG rhythm strip showing absent P waves and a slow, regular wide-complex ventricular escape rhythm consistent with complete heart block with underlying atrial fibrillation.",atrial fibrillation complete heart block ECG | AF third degree AV block rhythm strip | regularized atrial fibrillation bradycardia ECG | ventricular escape rhythm atrial fibrillation,True,<svg viewBox='0 0 600 200' xmlns='http://www.w3.org/2000/svg'><defs><pattern id='grid' width='20' height='20' patternUnits='userSpaceOnUse'><path d='M 20 0 L 0 0 0 20' fill='none' stroke='#ffcccc' stroke-width='0.5'/><path d='M 0 0 L 0 20 20 20 20 0 0 0' fill='none' stroke='#ffcccc' stroke-width='0.3'/></pattern></defs><rect width='600' height='200' fill='white'/><rect width='600' height='200' fill='url(#grid)'/><g stroke='black' stroke-width='1.8' fill='none'><path d='M 10 100 Q 20 98 30 102 Q 40 99 50 101 L 80 100 Q 88 100 92 75 L 95 50 L 98 75 Q 102 95 108 98 L 120 100 Q 125 102 130 100 L 145 100 Q 147 100 148 107 L 149 110 L 150 107 Q 151 100 153 100 L 180 100 Q 190 99 200 101 Q 210 98 220 100 L 250 100 Q 258 100 262 75 L 265 50 L 268 75 Q 272 95 278 98 L 290 100 Q 295 101 300 100 L 315 100 Q 317 100 318 107 L 319 110 L 320 107 Q 321 100 323 100 L 350 100 Q 360 99 370 101 Q 380 98 390 100 L 420 100 Q 428 100 432 75 L 435 50 L 438 75 Q 442 95 448 98 L 460 100 Q 465 102 470 100 L 485 100 Q 487 100 488 107 L 489 110 L 490 107 Q 491 100 493 100 L 520 100 Q 530 99 540 101 Q 550 98 560 100 L 590 100'/></g><text x='10' y='20' font-family='Arial' font-size='12' fill='black'>Lead II - Rhythm Strip</text><text x='10' y='190' font-family='Arial' font-size='11' fill='#666'>No P waves | Regular wide QRS | Rate ~35 bpm | Complete AV block with AF</text></svg>,
1,Cardiovascular Disease,ECG+US,Hazzard,2595,ECG shows,"An 85-year-old man with CKD stage 3b (eGFR 36), permanent AF, and moderat frailty is seen in cardiology clinic. He's on metoprolol 50 mg BID and apixaban 5 mg BID. Resting HR is 95",ECG rhythm strip showing atrial fibrillation with irregularly irregular rhythm and heart rate around 95 bpm demonstrating suboptimal rate control,atrial fibrillation ECG rhythm strip | AF irregular rhythm rate 95 | atrial fibrillation inadequate rate control ECG | uncontrolled atrial fibrillation ECG,True,"<svg viewBox='0 0 600 200' xmlns='http://www.w3.org/2000/svg'><defs><pattern id='grid' width='10' height='10' patternUnits='userSpaceOnUse'><path d='M 10 0 L 0 0 0 10' fill='none' stroke='#ffcccc' stroke-width='0.5'/></pattern><pattern id='grid-bold' width='50' height='10' patternUnits='userSpaceOnUse'><path d='M 50 0 L 0 0 0 10' fill='none' stroke='#ffaaaa' stroke-width='0.8'/></pattern></defs><rect width='600' height='200' fill='white'/><rect width='600' height='200' fill='url(#grid)'/><rect width='600' height='200' fill='url(#grid-bold)'/><path d='M 20 100 L 30 100 L 32 90 L 36 130 L 38 85 L 42 100 L 52 100 L 54 60 L 62 100 L 80 100 L 82 92 L 86 120 L 88 90 L 92 100 L 110 100 L 112 65 L 120 100 L 125 100 L 127 95 L 130 115 L 132 92 L 136 100 L 155 100 L 157 62 L 165 100 L 180 100 L 182 88 L 186 125 L 188 87 L 192 100 L 205 100 L 207 93 L 211 118 L 213 88 L 217 100 L 232 100 L 234 58 L 242 100 L 255 100 L 257 91 L 261 122 L 263 89 L 267 100 L 290 100 L 292 64 L 300 100 L 310 100 L 312 94 L 315 113 L 317 93 L 321 100 L 338 100 L 340 61 L 348 100 L 360 100 L 362 89 L 366 127 L 368 86 L 372 100 L 390 100 L 392 66 L 400 100 L 410 100 L 412 92 L 416 119 L 418 91 L 422 100 L 442 100 L 444 59 L 452 100 L 465 100 L 467 90 L 471 124 L 473 88 L 477 100 L 492 100 L 494 63 L 502 100 L 515 100 L 517 93 L 521 116 L 523 90 L 527 100 L 545 100 L 547 60 L 555 100 L 570 100 L 572 91 L 576 121 L 578 89 L 582 100 L 600 100' fill='none' stroke='#000' stroke-width='1.5'/><text x='10' y='15' font-family='Arial' font-size='12' fill='#000'>Atrial Fibrillation - HR ~95 bpm</text><text x='10' y='195' font-family='Arial' font-size='10' fill='#666'>Irregularly irregular rhythm, absent P waves, variable R-R intervals</text></svg>",
1,Cardiovascular Disease,ECG,Hazzard,2564,ECG shows,A 78-year-old woman presents 2 hours after onset of substernal chest pressure. ECG shows ST depressions in V4-V6. Initial troponin 0.8 ng/mL (normal <0.04). She takes aspirin 81 mg,ECG showing ST-segment depressions in the lateral precordial leads V4-V6 consistent with non-ST elevation myocardial infarction or posterior wall MI.,lateral ST depression ECG | NSTEMI ECG V4 V5 V6 | posterior MI ST depression precordial leads | subendocardial ischemia lateral leads ECG,True,<svg viewBox='0 0 800 400' xmlns='http://www.w3.org/2000/svg'><defs><pattern id='grid' width='5' height='5' patternUnits='userSpaceOnUse'><path d='M 5 0 L 0 0 0 5' fill='none' stroke='#ffcccc' stroke-width='0.5'/></pattern><pattern id='grid-bold' width='25' height='25' patternUnits='userSpaceOnUse'><path d='M 25 0 L 0 0 0 25' fill='none' stroke='#ffaaaa' stroke-width='1'/></pattern></defs><rect width='800' height='400' fill='url(#grid)'/><rect width='800' height='400' fill='url(#grid-bold)'/><text x='50' y='30' font-family='Arial' font-size='14' font-weight='bold'>V4</text><text x='250' y='30' font-family='Arial' font-size='14' font-weight='bold'>V5</text><text x='450' y='30' font-family='Arial' font-size='14' font-weight='bold'>V6</text><text x='650' y='30' font-family='Arial' font-size='14' font-weight='bold'>II</text><path d='M 20 200 L 40 200 Q 45 200 47 195 L 50 185 L 53 200 L 70 200 L 72 190 Q 77 165 82 155 L 87 165 Q 92 175 97 200 L 115 200 Q 120 205 125 205 L 140 205 L 142 200 L 160 200' fill='none' stroke='#000' stroke-width='1.5'/><path d='M 220 200 L 240 200 Q 245 200 247 195 L 250 185 L 253 200 L 270 200 L 272 190 Q 277 165 282 155 L 287 165 Q 292 175 297 200 L 315 200 Q 320 205 325 205 L 340 205 L 342 200 L 360 200' fill='none' stroke='#000' stroke-width='1.5'/><path d='M 420 200 L 440 200 Q 445 200 447 195 L 450 185 L 453 200 L 470 200 L 472 190 Q 477 165 482 155 L 487 165 Q 492 175 497 200 L 515 200 Q 520 205 325 205 L 540 205 L 542 200 L 560 200' fill='none' stroke='#000' stroke-width='1.5'/><path d='M 620 200 L 640 200 Q 645 200 647 195 L 650 185 L 653 200 L 670 200 L 672 195 Q 677 180 682 170 L 687 180 Q 692 190 697 200 L 715 200 Q 720 202 725 202 L 740 202 L 742 200 L 760 200' fill='none' stroke='#000' stroke-width='1.5'/><text x='20' y='380' font-family='Arial' font-size='12' fill='#cc0000' font-weight='bold'>ST Depression in V4-V6 (Lateral Leads)</text><text x='20' y='395' font-family='Arial' font-size='11' fill='#666'>Consistent with NSTEMI or Posterior MI</text></svg>,
1,Cardiovascular Disease,CXR,Harrison,2908,CXR shows,An 86-year-old man with advanced Parkinson's disease (H&Y stage 4) is brought to ED by nursing home staff for altered mental status and fever. He has difficulty swallowing and rece,Chest X-ray showing right lower lobe aspiration pneumonia in an elderly patient with dysphagia.,aspiration pneumonia chest x-ray | right lower lobe pneumonia CXR | aspiration pneumonia elderly | nursing home acquired pneumonia chest radiograph,False,,
1,Cardiovascular Disease,ECG,Hazzard,970,EKG shows,An 82-year-old with no chest pain presents with dyspnea and acute mental status change. EKG shows ST-segment depressions. What is the likely diagnosis and should age be a barrier t,ECG showing diffuse ST-segment depressions consistent with non-ST elevation myocardial infarction (NSTEMI) or demand ischemia in an elderly patient.,NSTEMI ECG ST depression | diffuse ST depression ECG elderly | subendocardial ischemia ECG | non-STEMI ECG ST segment depression | demand ischemia ECG,True,"<svg viewBox='0 0 800 400' xmlns='http://www.w3.org/2000/svg'><defs><pattern id='grid' width='20' height='20' patternUnits='userSpaceOnUse'><path d='M 20 0 L 0 0 0 20' fill='none' stroke='#ffcccc' stroke-width='0.5'/></pattern><pattern id='grid-bold' width='100' height='20' patternUnits='userSpaceOnUse'><path d='M 100 0 L 0 0 0 20' fill='none' stroke='#ffaaaa' stroke-width='1'/></pattern></defs><rect width='800' height='400' fill='#fff'/><rect width='800' height='400' fill='url(#grid)'/><rect width='800' height='400' fill='url(#grid-bold)'/><text x='10' y='20' font-family='Arial' font-size='14' font-weight='bold'>Lead II - NSTEMI</text><text x='10' y='380' font-family='Arial' font-size='12'>ST-segment depression</text><g transform='translate(50, 200)' stroke='#000' stroke-width='2' fill='none'><path d='M 0,0 L 20,0 Q 30,-5 35,-30 Q 40,-55 45,-65 Q 50,-55 55,-30 Q 60,-5 70,0 L 100,0 L 110,25 L 130,25 L 140,0 Q 150,5 160,5 L 180,5 L 200,0 L 220,0 Q 230,-5 235,-30 Q 240,-55 245,-65 Q 250,-55 255,-30 Q 260,-5 270,0 L 300,0 L 310,25 L 330,25 L 340,0 Q 350,5 360,5 L 380,5 L 400,0 L 420,0 Q 430,-5 435,-30 Q 440,-55 445,-65 Q 450,-55 455,-30 Q 460,-5 470,0 L 500,0 L 510,25 L 530,25 L 540,0 Q 550,5 560,5 L 580,5 L 600,0'/></g><line x1='50' y1='200' x2='700' y2='200' stroke='#999' stroke-width='1' stroke-dasharray='5,5'/><text x='680' y='195' font-family='Arial' font-size='10' fill='#666'>baseline</text><ellipse cx='190' cy='205' rx='35' ry='15' fill='none' stroke='red' stroke-width='2'/><ellipse cx='390' cy='205' rx='35' ry='15' fill='none' stroke='red' stroke-width='2'/><ellipse cx='590' cy='205' rx='35' ry='15' fill='none' stroke='red' stroke-width='2'/><path d='M 190,220 L 180,235' stroke='red' stroke-width='1.5' fill='none'/><text x='120' y='250' font-family='Arial' font-size='11' fill='red'>ST depression</text></svg>",
1,Cardiovascular Disease,CT/MRI,Harrison,2911,Chest CT shows,"A 76-year-old woman is admitted with NSTEMI. She undergoes PCI with placement of two drug-eluting stents. Post-procedure, she develops severe back pain between her shoulder blades.",CT angiography showing aortic dissection with intimal flap in the descending thoracic aorta,aortic dissection CT | Stanford type B aortic dissection CTA | descending aortic dissection intimal flap | iatrogenic aortic dissection post PCI,False,,
1,Cardiovascular Disease,ECG,Hazzard,2597,ECG shows,"A 78-year-old man presents to the ED with 2 hours of palpitations and lightheadedness. He has diabetes, CKD stage 3a, and BPH. Medications include metformin, tamsulosin, and amlodi",ECG rhythm strip showing atrial fibrillation with rapid ventricular response in an elderly patient presenting with palpitations and lightheadedness.,atrial fibrillation rapid ventricular response ECG | AFib RVR rhythm strip | irregular narrow complex tachycardia ECG | atrial fibrillation fast rate ECG,True,"<svg viewBox='0 0 600 200' xmlns='http://www.w3.org/2000/svg'><defs><pattern id='grid' width='10' height='10' patternUnits='userSpaceOnUse'><path d='M 10 0 L 0 0 0 10' fill='none' stroke='#ffcccc' stroke-width='0.5'/></pattern><pattern id='grid-bold' width='50' height='50' patternUnits='userSpaceOnUse'><path d='M 50 0 L 0 0 0 50' fill='none' stroke='#ffaaaa' stroke-width='1'/></pattern></defs><rect width='600' height='200' fill='white'/><rect width='600' height='200' fill='url(#grid)'/><rect width='600' height='200' fill='url(#grid-bold)'/><path d='M 10 100 Q 15 98 20 85 T 25 75 L 27 68 L 30 120 L 32 65 L 35 100 Q 40 102 45 100 Q 50 99 55 100 Q 60 98 65 95 Q 70 94 73 80 L 75 70 L 77 65 L 80 125 L 82 60 L 85 100 Q 90 101 95 100 Q 100 99 105 100 Q 110 101 113 97 Q 118 95 120 88 L 122 78 L 125 130 L 127 65 L 130 100 Q 135 102 140 100 Q 145 99 150 100 Q 155 98 160 100 Q 163 99 168 92 Q 172 88 175 82 L 177 72 L 180 128 L 182 63 L 185 100 Q 190 101 195 100 Q 200 99 205 100 Q 210 101 215 100 Q 218 98 223 90 L 225 80 L 227 70 L 230 125 L 232 62 L 235 100 Q 240 102 245 100 Q 250 99 255 100 Q 260 98 265 100 Q 270 99 273 93 Q 278 89 280 83 L 282 73 L 285 127 L 287 64 L 290 100 Q 295 101 300 100 Q 305 99 310 100 Q 315 98 320 97 Q 325 96 328 88 L 330 78 L 333 122 L 335 66 L 338 100 Q 343 102 348 100 Q 353 99 358 100 Q 363 101 368 100 Q 373 98 378 94 L 380 84 L 382 74 L 385 130 L 387 61 L 390 100 Q 395 101 400 100 Q 405 99 410 100 Q 415 98 420 100 Q 425 99 428 91 Q 433 87 435 81 L 438 126 L 440 63 L 443 100 Q 448 102 453 100 Q 458 99 463 100 Q 468 101 473 100 Q 478 98 483 95 L 485 85 L 487 75 L 490 124 L 492 65 L 495 100 Q 500 101 505 100 Q 510 99 515 100 Q 520 98 525 99 Q 530 98 533 90 L 535 80 L 538 128 L 540 62 L 543 100 Q 548 102 553 100 Q 558 99 563 100 Q 568 101 573 100 Q 578 99 583 93 L 585 83 L 587 73 L 590 125 L 592 64 L 595 100' fill='none' stroke='black' stroke-width='1.5'/><text x='10' y='15' font-family='Arial' font-size='12' fill='black'>Atrial Fibrillation with RVR (~140 bpm)</text><text x='10' y='195' font-family='Arial' font-size='10' fill='black'>Irregularly irregular rhythm, no P waves, variable R-R intervals</text></svg>",
